Cohort,Geography,Gender,Percentage,,
100 years and over,Kootenay Boundary,Women+,0.0%,,
0 to 4 years,Kootenay Boundary A,Women+,1.5%,,
5 to 9 years,Kootenay Boundary A,Women+,3.1%,,
10 to 14 years,Kootenay Boundary A,Women+,2.5%,,
15 to 19 years,Kootenay Boundary A,Women+,2.2%,,
20 to 24 years,Kootenay Boundary A,Women+,1.9%,,
25 to 29 years,Kootenay Boundary A,Women+,1.9%,,
30 to 34 years,Kootenay Boundary A,Women+,2.8%,,
35 to 39 years,Kootenay Boundary A,Women+,3.1%,,
40 to 44 years,Kootenay Boundary A,Women+,2.5%,,
45 to 49 years,Kootenay Boundary A,Women+,3.1%,,
50 to 54 years,Kootenay Boundary A,Women+,4.0%,,
55 to 59 years,Kootenay Boundary A,Women+,3.7%,,
60 to 64 years,Kootenay Boundary A,Women+,4.9%,,
65 to 69 years,Kootenay Boundary A,Women+,5.2%,,
70 to 74 years,Kootenay Boundary A,Women+,3.1%,,
75 to 79 years,Kootenay Boundary A,Women+,1.5%,,
80 to 84 years,Kootenay Boundary A,Women+,1.2%,,
85 to 89 years,Kootenay Boundary A,Women+,0.3%,,
90 to 94 years,Kootenay Boundary A,Women+,0.0%,,
95 to 99 years,Kootenay Boundary A,Women+,0.0%,,
100 years and over,Kootenay Boundary A,Women+,0.0%,,
0 to 4 years,Kootenay Boundary B,Women+,1.1%,,
5 to 9 years,Kootenay Boundary B,Women+,2.5%,,
10 to 14 years,Kootenay Boundary B,Women+,1.8%,,
15 to 19 years,Kootenay Boundary B,Women+,1.8%,,
20 to 24 years,Kootenay Boundary B,Women+,1.4%,,
25 to 29 years,Kootenay Boundary B,Women+,1.8%,,
30 to 34 years,Kootenay Boundary B,Women+,2.8%,,
35 to 39 years,Kootenay Boundary B,Women+,2.8%,,
40 to 44 years,Kootenay Boundary B,Women+,2.8%,,
45 to 49 years,Kootenay Boundary B,Women+,2.8%,,
50 to 54 years,Kootenay Boundary B,Women+,2.8%,,
55 to 59 years,Kootenay Boundary B,Women+,5.3%,,
60 to 64 years,Kootenay Boundary B,Women+,6.0%,,
65 to 69 years,Kootenay Boundary B,Women+,5.0%,,
70 to 74 years,Kootenay Boundary B,Women+,4.3%,,
75 to 79 years,Kootenay Boundary B,Women+,2.5%,,
80 to 84 years,Kootenay Boundary B,Women+,1.4%,,
85 to 89 years,Kootenay Boundary B,Women+,0.7%,,
90 to 94 years,Kootenay Boundary B,Women+,0.4%,,
95 to 99 years,Kootenay Boundary B,Women+,0.0%,,
100 years and over,Kootenay Boundary B,Women+,0.0%,,
0 to 4 years,Kootenay Boundary C,Women+,0.9%,,
5 to 9 years,Kootenay Boundary C,Women+,1.5%,,
10 to 14 years,Kootenay Boundary C,Women+,2.5%,,
15 to 19 years,Kootenay Boundary C,Women+,1.5%,,
20 to 24 years,Kootenay Boundary C,Women+,0.6%,,
25 to 29 years,Kootenay Boundary C,Women+,0.6%,,
30 to 34 years,Kootenay Boundary C,Women+,1.2%,,
35 to 39 years,Kootenay Boundary C,Women+,2.8%,,
40 to 44 years,Kootenay Boundary C,Women+,2.2%,,
45 to 49 years,Kootenay Boundary C,Women+,3.1%,,
50 to 54 years,Kootenay Boundary C,Women+,2.2%,,
55 to 59 years,Kootenay Boundary C,Women+,4.9%,,
60 to 64 years,Kootenay Boundary C,Women+,6.8%,,
65 to 69 years,Kootenay Boundary C,Women+,6.5%,,
70 to 74 years,Kootenay Boundary C,Women+,5.8%,,
75 to 79 years,Kootenay Boundary C,Women+,3.4%,,
80 to 84 years,Kootenay Boundary C,Women+,1.8%,,
85 to 89 years,Kootenay Boundary C,Women+,1.2%,,
90 to 94 years,Kootenay Boundary C,Women+,0.3%,,
95 to 99 years,Kootenay Boundary C,Women+,0.0%,,
100 years and over,Kootenay Boundary C,Women+,0.0%,,
0 to 4 years,Kootenay Boundary D,Women+,1.2%,,
5 to 9 years,Kootenay Boundary D,Women+,1.9%,,
10 to 14 years,Kootenay Boundary D,Women+,2.0%,,
15 to 19 years,Kootenay Boundary D,Women+,2.5%,,
20 to 24 years,Kootenay Boundary D,Women+,0.9%,,
25 to 29 years,Kootenay Boundary D,Women+,1.4%,,
30 to 34 years,Kootenay Boundary D,Women+,1.7%,,
35 to 39 years,Kootenay Boundary D,Women+,2.5%,,
40 to 44 years,Kootenay Boundary D,Women+,2.2%,,
45 to 49 years,Kootenay Boundary D,Women+,2.5%,,
50 to 54 years,Kootenay Boundary D,Women+,3.1%,,
55 to 59 years,Kootenay Boundary D,Women+,5.8%,,
60 to 64 years,Kootenay Boundary D,Women+,6.1%,,
65 to 69 years,Kootenay Boundary D,Women+,5.3%,,
70 to 74 years,Kootenay Boundary D,Women+,5.1%,,
75 to 79 years,Kootenay Boundary D,Women+,2.5%,,
80 to 84 years,Kootenay Boundary D,Women+,1.4%,,
85 to 89 years,Kootenay Boundary D,Women+,0.9%,,
90 to 94 years,Kootenay Boundary D,Women+,0.3%,,
95 to 99 years,Kootenay Boundary D,Women+,0.0%,,
100 years and over,Kootenay Boundary D,Women+,0.0%,,
0 to 4 years,Kootenay Boundary E,Women+,1.3%,,
5 to 9 years,Kootenay Boundary E,Women+,2.3%,,
10 to 14 years,Kootenay Boundary E,Women+,2.3%,,
15 to 19 years,Kootenay Boundary E,Women+,2.3%,,
20 to 24 years,Kootenay Boundary E,Women+,2.0%,,
25 to 29 years,Kootenay Boundary E,Women+,1.7%,,
30 to 34 years,Kootenay Boundary E,Women+,3.0%,,
35 to 39 years,Kootenay Boundary E,Women+,3.7%,,
40 to 44 years,Kootenay Boundary E,Women+,3.2%,,
45 to 49 years,Kootenay Boundary E,Women+,3.2%,,
50 to 54 years,Kootenay Boundary E,Women+,2.8%,,
55 to 59 years,Kootenay Boundary E,Women+,3.7%,,
60 to 64 years,Kootenay Boundary E,Women+,6.2%,,
65 to 69 years,Kootenay Boundary E,Women+,4.3%,,
70 to 74 years,Kootenay Boundary E,Women+,3.2%,,
75 to 79 years,Kootenay Boundary E,Women+,1.3%,,
80 to 84 years,Kootenay Boundary E,Women+,0.5%,,
85 to 89 years,Kootenay Boundary E,Women+,0.2%,,
90 to 94 years,Kootenay Boundary E,Women+,0.2%,,
95 to 99 years,Kootenay Boundary E,Women+,0.0%,,
100 years and over,Kootenay Boundary E,Women+,0.0%,,
0 to 4 years,Midway,Women+,0.8%,,
5 to 9 years,Midway,Women+,1.5%,,
10 to 14 years,Midway,Women+,1.5%,,
15 to 19 years,Midway,Women+,1.5%,,
20 to 24 years,Midway,Women+,0.8%,,
25 to 29 years,Midway,Women+,1.5%,,
30 to 34 years,Midway,Women+,1.5%,,
35 to 39 years,Midway,Women+,0.8%,,
40 to 44 years,Midway,Women+,1.5%,,
45 to 49 years,Midway,Women+,2.3%,,
50 to 54 years,Midway,Women+,2.3%,,
55 to 59 years,Midway,Women+,4.5%,,
60 to 64 years,Midway,Women+,7.5%,,
65 to 69 years,Midway,Women+,6.0%,,
70 to 74 years,Midway,Women+,6.0%,,
75 to 79 years,Midway,Women+,3.0%,,
80 to 84 years,Midway,Women+,3.0%,,
85 to 89 years,Midway,Women+,2.3%,,
90 to 94 years,Midway,Women+,0.8%,,
95 to 99 years,Midway,Women+,0.8%,,
100 years and over,Midway,Women+,0.0%,,
0 to 4 years,Montrose,Women+,3.0%,,
5 to 9 years,Montrose,Women+,3.0%,,
10 to 14 years,Montrose,Women+,2.5%,,
15 to 19 years,Montrose,Women+,2.0%,,
20 to 24 years,Montrose,Women+,3.0%,,
25 to 29 years,Montrose,Women+,2.5%,,
30 to 34 years,Montrose,Women+,2.5%,,
35 to 39 years,Montrose,Women+,3.0%,,
40 to 44 years,Montrose,Women+,2.5%,,
45 to 49 years,Montrose,Women+,2.0%,,
50 to 54 years,Montrose,Women+,3.0%,,
55 to 59 years,Montrose,Women+,4.0%,,
60 to 64 years,Montrose,Women+,4.0%,,
65 to 69 years,Montrose,Women+,5.0%,,
70 to 74 years,Montrose,Women+,2.5%,,
75 to 79 years,Montrose,Women+,2.5%,,
80 to 84 years,Montrose,Women+,1.5%,,
85 to 89 years,Montrose,Women+,0.5%,,
90 to 94 years,Montrose,Women+,0.5%,,
95 to 99 years,Montrose,Women+,0.0%,,
100 years and over,Montrose,Women+,0.0%,,
0 to 4 years,Nakusp,Women+,1.3%,,
5 to 9 years,Nakusp,Women+,2.5%,,
10 to 14 years,Nakusp,Women+,1.9%,,
15 to 19 years,Nakusp,Women+,2.5%,,
20 to 24 years,Nakusp,Women+,2.2%,,
25 to 29 years,Nakusp,Women+,2.2%,,
30 to 34 years,Nakusp,Women+,2.2%,,
35 to 39 years,Nakusp,Women+,3.1%,,
40 to 44 years,Nakusp,Women+,3.1%,,
45 to 49 years,Nakusp,Women+,2.5%,,
50 to 54 years,Nakusp,Women+,3.8%,,
55 to 59 years,Nakusp,Women+,4.4%,,
60 to 64 years,Nakusp,Women+,3.8%,,
65 to 69 years,Nakusp,Women+,5.6%,,
70 to 74 years,Nakusp,Women+,5.0%,,
75 to 79 years,Nakusp,Women+,2.8%,,
80 to 84 years,Nakusp,Women+,2.8%,,
85 to 89 years,Nakusp,Women+,0.6%,,
90 to 94 years,Nakusp,Women+,0.3%,,
95 to 99 years,Nakusp,Women+,0.0%,,
100 years and over,Nakusp,Women+,0.0%,,
0 to 4 years,Nelson,Women+,2.0%,,
5 to 9 years,Nelson,Women+,2.1%,,
10 to 14 years,Nelson,Women+,2.8%,,
15 to 19 years,Nelson,Women+,2.4%,,
20 to 24 years,Nelson,Women+,2.3%,,
25 to 29 years,Nelson,Women+,3.8%,,
30 to 34 years,Nelson,Women+,4.2%,,
35 to 39 years,Nelson,Women+,3.5%,,
40 to 44 years,Nelson,Women+,3.8%,,
45 to 49 years,Nelson,Women+,4.0%,,
50 to 54 years,Nelson,Women+,3.0%,,
55 to 59 years,Nelson,Women+,3.1%,,
60 to 64 years,Nelson,Women+,3.1%,,
65 to 69 years,Nelson,Women+,3.3%,,
70 to 74 years,Nelson,Women+,3.0%,,
75 to 79 years,Nelson,Women+,1.8%,,
80 to 84 years,Nelson,Women+,1.8%,,
85 to 89 years,Nelson,Women+,0.9%,,
90 to 94 years,Nelson,Women+,0.7%,,
95 to 99 years,Nelson,Women+,0.2%,,
100 years and over,Nelson,Women+,0.0%,,
0 to 4 years,New Denver,Women+,1.0%,,
5 to 9 years,New Denver,Women+,1.0%,,
10 to 14 years,New Denver,Women+,2.1%,,
15 to 19 years,New Denver,Women+,2.1%,,
20 to 24 years,New Denver,Women+,1.0%,,
25 to 29 years,New Denver,Women+,1.0%,,
30 to 34 years,New Denver,Women+,1.0%,,
35 to 39 years,New Denver,Women+,2.1%,,
40 to 44 years,New Denver,Women+,3.1%,,
45 to 49 years,New Denver,Women+,2.1%,,
50 to 54 years,New Denver,Women+,3.1%,,
55 to 59 years,New Denver,Women+,5.2%,,
60 to 64 years,New Denver,Women+,7.3%,,
65 to 69 years,New Denver,Women+,7.3%,,
70 to 74 years,New Denver,Women+,6.3%,,
75 to 79 years,New Denver,Women+,4.2%,,
80 to 84 years,New Denver,Women+,2.1%,,
85 to 89 years,New Denver,Women+,3.1%,,
90 to 94 years,New Denver,Women+,1.0%,,
95 to 99 years,New Denver,Women+,1.0%,,
100 years and over,New Denver,Women+,0.0%,,
0 to 4 years,Radium Hot Springs,Women+,3.0%,,
5 to 9 years,Radium Hot Springs,Women+,1.9%,,
10 to 14 years,Radium Hot Springs,Women+,1.9%,,
15 to 19 years,Radium Hot Springs,Women+,2.6%,,
20 to 24 years,Radium Hot Springs,Women+,1.9%,,
25 to 29 years,Radium Hot Springs,Women+,3.0%,,
30 to 34 years,Radium Hot Springs,Women+,2.2%,,
35 to 39 years,Radium Hot Springs,Women+,3.7%,,
40 to 44 years,Radium Hot Springs,Women+,2.6%,,
45 to 49 years,Radium Hot Springs,Women+,3.0%,,
50 to 54 years,Radium Hot Springs,Women+,3.4%,,
55 to 59 years,Radium Hot Springs,Women+,4.1%,,
60 to 64 years,Radium Hot Springs,Women+,5.6%,,
65 to 69 years,Radium Hot Springs,Women+,5.2%,,
70 to 74 years,Radium Hot Springs,Women+,4.1%,,
75 to 79 years,Radium Hot Springs,Women+,1.5%,,
80 to 84 years,Radium Hot Springs,Women+,1.1%,,
85 to 89 years,Radium Hot Springs,Women+,0.0%,,
90 to 94 years,Radium Hot Springs,Women+,0.0%,,
95 to 99 years,Radium Hot Springs,Women+,0.0%,,
100 years and over,Radium Hot Springs,Women+,0.0%,,
0 to 4 years,Revelstoke,Women+,2.7%,,
5 to 9 years,Revelstoke,Women+,2.8%,,
10 to 14 years,Revelstoke,Women+,2.2%,,
15 to 19 years,Revelstoke,Women+,2.0%,,
20 to 24 years,Revelstoke,Women+,2.2%,,
25 to 29 years,Revelstoke,Women+,4.1%,,
30 to 34 years,Revelstoke,Women+,5.9%,,
35 to 39 years,Revelstoke,Women+,5.0%,,
40 to 44 years,Revelstoke,Women+,4.3%,,
45 to 49 years,Revelstoke,Women+,2.6%,,
50 to 54 years,Revelstoke,Women+,2.7%,,
55 to 59 years,Revelstoke,Women+,2.6%,,
60 to 64 years,Revelstoke,Women+,2.9%,,
65 to 69 years,Revelstoke,Women+,2.5%,,
70 to 74 years,Revelstoke,Women+,1.8%,,
75 to 79 years,Revelstoke,Women+,1.1%,,
80 to 84 years,Revelstoke,Women+,0.8%,,
85 to 89 years,Revelstoke,Women+,0.5%,,
90 to 94 years,Revelstoke,Women+,0.2%,,
95 to 99 years,Revelstoke,Women+,0.1%,,
100 years and over,Revelstoke,Women+,0.0%,,
0 to 4 years,Rossland,Women+,2.8%,,
5 to 9 years,Rossland,Women+,3.1%,,
10 to 14 years,Rossland,Women+,2.8%,,
15 to 19 years,Rossland,Women+,2.5%,,
20 to 24 years,Rossland,Women+,1.1%,,
25 to 29 years,Rossland,Women+,2.4%,,
30 to 34 years,Rossland,Women+,4.0%,,
35 to 39 years,Rossland,Women+,5.0%,,
40 to 44 years,Rossland,Women+,3.6%,,
45 to 49 years,Rossland,Women+,3.5%,,
50 to 54 years,Rossland,Women+,3.5%,,
55 to 59 years,Rossland,Women+,3.0%,,
60 to 64 years,Rossland,Women+,3.8%,,
65 to 69 years,Rossland,Women+,3.5%,,
70 to 74 years,Rossland,Women+,1.7%,,
75 to 79 years,Rossland,Women+,1.3%,,
80 to 84 years,Rossland,Women+,0.8%,,
85 to 89 years,Rossland,Women+,0.4%,,
90 to 94 years,Rossland,Women+,0.1%,,
95 to 99 years,Rossland,Women+,0.1%,,
100 years and over,Rossland,Women+,0.0%,,
0 to 4 years,Salmo,Women+,1.7%,,
5 to 9 years,Salmo,Women+,2.2%,,
10 to 14 years,Salmo,Women+,3.5%,,
15 to 19 years,Salmo,Women+,1.3%,,
20 to 24 years,Salmo,Women+,1.3%,,
25 to 29 years,Salmo,Women+,3.1%,,
30 to 34 years,Salmo,Women+,2.6%,,
35 to 39 years,Salmo,Women+,3.1%,,
40 to 44 years,Salmo,Women+,3.5%,,
45 to 49 years,Salmo,Women+,2.6%,,
50 to 54 years,Salmo,Women+,2.6%,,
55 to 59 years,Salmo,Women+,3.9%,,
60 to 64 years,Salmo,Women+,5.2%,,
65 to 69 years,Salmo,Women+,3.9%,,
70 to 74 years,Salmo,Women+,3.5%,,
75 to 79 years,Salmo,Women+,2.6%,,
80 to 84 years,Salmo,Women+,2.2%,,
85 to 89 years,Salmo,Women+,1.3%,,
90 to 94 years,Salmo,Women+,0.4%,,
95 to 99 years,Salmo,Women+,0.0%,,
100 years and over,Salmo,Women+,0.0%,,
0 to 4 years,Silverton,Women+,0.0%,,
5 to 9 years,Silverton,Women+,3.1%,,
10 to 14 years,Silverton,Women+,0.0%,,
15 to 19 years,Silverton,Women+,0.0%,,
20 to 24 years,Silverton,Women+,0.0%,,
25 to 29 years,Silverton,Women+,0.0%,,
30 to 34 years,Silverton,Women+,0.0%,,
35 to 39 years,Silverton,Women+,0.0%,,
40 to 44 years,Silverton,Women+,0.0%,,
45 to 49 years,Silverton,Women+,0.0%,,
50 to 54 years,Silverton,Women+,3.1%,,
55 to 59 years,Silverton,Women+,6.3%,,
60 to 64 years,Silverton,Women+,6.3%,,
65 to 69 years,Silverton,Women+,6.3%,,
70 to 74 years,Silverton,Women+,9.4%,,
75 to 79 years,Silverton,Women+,0.0%,,
80 to 84 years,Silverton,Women+,6.3%,,
85 to 89 years,Silverton,Women+,0.0%,,
90 to 94 years,Silverton,Women+,0.0%,,
95 to 99 years,Silverton,Women+,0.0%,,
100 years and over,Silverton,Women+,0.0%,,
0 to 4 years,Slocan,Women+,1.3%,,
5 to 9 years,Slocan,Women+,1.3%,,
10 to 14 years,Slocan,Women+,3.9%,,
15 to 19 years,Slocan,Women+,2.6%,,
20 to 24 years,Slocan,Women+,1.3%,,
25 to 29 years,Slocan,Women+,0.0%,,
30 to 34 years,Slocan,Women+,2.6%,,
35 to 39 years,Slocan,Women+,2.6%,,
40 to 44 years,Slocan,Women+,2.6%,,
45 to 49 years,Slocan,Women+,2.6%,,
50 to 54 years,Slocan,Women+,2.6%,,
55 to 59 years,Slocan,Women+,3.9%,,
60 to 64 years,Slocan,Women+,5.3%,,
65 to 69 years,Slocan,Women+,3.9%,,
70 to 74 years,Slocan,Women+,3.9%,,
75 to 79 years,Slocan,Women+,1.3%,,
80 to 84 years,Slocan,Women+,1.3%,,
85 to 89 years,Slocan,Women+,1.3%,,
90 to 94 years,Slocan,Women+,0.0%,,
95 to 99 years,Slocan,Women+,0.0%,,
100 years and over,Slocan,Women+,0.0%,,
0 to 4 years,Sparwood,Women+,3.0%,,
5 to 9 years,Sparwood,Women+,3.5%,,
10 to 14 years,Sparwood,Women+,3.1%,,
15 to 19 years,Sparwood,Women+,2.2%,,
20 to 24 years,Sparwood,Women+,2.1%,,
25 to 29 years,Sparwood,Women+,3.0%,,
30 to 34 years,Sparwood,Women+,4.1%,,
35 to 39 years,Sparwood,Women+,4.5%,,
40 to 44 years,Sparwood,Women+,3.3%,,
45 to 49 years,Sparwood,Women+,2.9%,,
50 to 54 years,Sparwood,Women+,2.8%,,
55 to 59 years,Sparwood,Women+,3.5%,,
60 to 64 years,Sparwood,Women+,3.4%,,
65 to 69 years,Sparwood,Women+,2.5%,,
70 to 74 years,Sparwood,Women+,1.6%,,
75 to 79 years,Sparwood,Women+,1.2%,,
80 to 84 years,Sparwood,Women+,0.8%,,
85 to 89 years,Sparwood,Women+,0.5%,,
90 to 94 years,Sparwood,Women+,0.1%,,
95 to 99 years,Sparwood,Women+,0.0%,,
100 years and over,Sparwood,Women+,0.0%,,
0 to 4 years,Trail,Women+,1.8%,,
5 to 9 years,Trail,Women+,2.1%,,
10 to 14 years,Trail,Women+,2.5%,,
15 to 19 years,Trail,Women+,2.0%,,
20 to 24 years,Trail,Women+,2.2%,,
25 to 29 years,Trail,Women+,3.0%,,
30 to 34 years,Trail,Women+,2.7%,,
35 to 39 years,Trail,Women+,3.2%,,
40 to 44 years,Trail,Women+,2.5%,,
45 to 49 years,Trail,Women+,2.7%,,
50 to 54 years,Trail,Women+,2.9%,,
55 to 59 years,Trail,Women+,4.0%,,
60 to 64 years,Trail,Women+,4.6%,,
65 to 69 years,Trail,Women+,4.4%,,
70 to 74 years,Trail,Women+,4.2%,,
75 to 79 years,Trail,Women+,2.5%,,
80 to 84 years,Trail,Women+,2.1%,,
85 to 89 years,Trail,Women+,1.5%,,
90 to 94 years,Trail,Women+,0.7%,,
95 to 99 years,Trail,Women+,0.3%,,
100 years and over,Trail,Women+,0.1%,,
0 to 4 years,Valemount,Women+,1.9%,,
5 to 9 years,Valemount,Women+,2.9%,,
10 to 14 years,Valemount,Women+,2.9%,,
15 to 19 years,Valemount,Women+,2.4%,,
20 to 24 years,Valemount,Women+,1.9%,,
25 to 29 years,Valemount,Women+,2.9%,,
30 to 34 years,Valemount,Women+,2.9%,,
35 to 39 years,Valemount,Women+,4.8%,,
40 to 44 years,Valemount,Women+,2.4%,,
45 to 49 years,Valemount,Women+,2.4%,,
50 to 54 years,Valemount,Women+,3.8%,,
55 to 59 years,Valemount,Women+,3.8%,,
60 to 64 years,Valemount,Women+,3.8%,,
65 to 69 years,Valemount,Women+,3.8%,,
70 to 74 years,Valemount,Women+,2.9%,,
75 to 79 years,Valemount,Women+,1.9%,,
80 to 84 years,Valemount,Women+,1.4%,,
85 to 89 years,Valemount,Women+,1.0%,,
90 to 94 years,Valemount,Women+,0.5%,,
95 to 99 years,Valemount,Women+,0.5%,,
100 years and over,Valemount,Women+,0.0%,,
0 to 4 years,Warfield,Women+,2.0%,,
5 to 9 years,Warfield,Women+,2.0%,,
10 to 14 years,Warfield,Women+,3.4%,,
15 to 19 years,Warfield,Women+,3.1%,,
20 to 24 years,Warfield,Women+,2.0%,,
25 to 29 years,Warfield,Women+,2.6%,,
30 to 34 years,Warfield,Women+,3.4%,,
35 to 39 years,Warfield,Women+,3.1%,,
40 to 44 years,Warfield,Women+,3.4%,,
45 to 49 years,Warfield,Women+,3.1%,,
50 to 54 years,Warfield,Women+,2.6%,,
55 to 59 years,Warfield,Women+,3.4%,,
60 to 64 years,Warfield,Women+,4.0%,,
65 to 69 years,Warfield,Women+,3.7%,,
70 to 74 years,Warfield,Women+,3.4%,,
75 to 79 years,Warfield,Women+,1.1%,,
80 to 84 years,Warfield,Women+,2.0%,,
85 to 89 years,Warfield,Women+,0.9%,,
90 to 94 years,Warfield,Women+,0.6%,,
95 to 99 years,Warfield,Women+,0.0%,,
100 years and over,Warfield,Women+,0.0%,,
